,name,id,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
20,anonimo-cleopatra-e-marc-antonio,ita000021,(Anonimo),0,Cleopatra e Marc'Antonio Tragedia,,,1600,12,False,0.6893518518518519,0.6363636363636364,1.3636363636363635,cleop,7.0,2,,,9,12,3,9,0,,1,1551/1600,22,0.0,0,24373,20337,383,811,0
34,ariosto-cassaria,ita000035,Ariosto,0,Cassaria,,,1508,20,False,0.7067460317460317,0.2684210526315789,2.0526315789473686,trap,5.1,4,1508,,10,20,2,18,0,,1,,30,0.0,5,17125,16610,113,755,0
36,ariosto-i-suppositi-red-in-versi,ita000037,Ariosto,0,I Suppositi (red. in versi),,,1529,17,False,0.6060860707919531,0.3235294117647059,1.660377358490566,erostrato,5.176470588235294,3,,,12,17,3,14,0,,2,1529,34,,5,16623,16060,115,0,2532
37,ariosto-i-suppositi,ita000038,Ariosto,0,I suppositi,,,1508,17,False,0.6082930141753671,0.3529411764705882,1.5754716981132075,erost,5.647058823529412,3,1508,,12,17,3,14,0,,2,,28,0.0,5,16579,15951,114,721,0
38,ariosto-il-negromante,ita000039,Ariosto,0,Il Negromante,,,1529,14,False,0.5010204081632653,0.3296703296703296,1.4042553191489362,temolo|nibbio,4.285714285714286,3,1528/1529,1535.0,8,14,4,10,0,,3,1509/1528,25,0.0,5,16492,15833,70,0,2502
39,ariosto-la-cassaria-red-in-versi,ita000040,Ariosto,0,La Cassaria (red. in versi),,,1529,19,False,0.727037290195185,0.2807017543859649,2.0350877192982457,trappola,5.052631578947368,4,1529,,11,19,3,16,0,,1,1528/1529,34,,0,23893,22604,98,0,3531
40,ariosto-la-lena,ita000041,Ariosto,0,La Lena,,,1528,18,False,0.7965367965367965,0.3006535947712418,1.9019607843137252,corbolo,5.111111111111111,3,1528,,11,18,2,16,0,,1,,36,0.0,5,14006,13212,92,0,2042
42,beccari-il-sacrificio-1555,ita000043,Beccari,0,Il sacrificio (1555),,,1555,11,False,0.766233766233766,0.6,1.108108108108108,several characters,6.0,2,,1555.0,8,11,3,8,0,,2,,29,,5,18482,16759,112,0,2343
43,beccari-il-sacrificio-1587,ita000044,Beccari,0,Il sacrificio (1587),,,1587,12,False,0.7023809523809522,0.5,1.108108108108108,several characters,5.5,2,,1587.0,8,12,3,9,0,,3,,33,,5,22174,19448,123,0,2704
57,dal-carretto-noze-de-psiche-e-cupidine,ita000058,Carretto,0,Noze de Psiche e Cupidine,,,1499,37,False,0.8829708248030397,0.5465465465465466,1.4534534534534536,cupido|psiche,19.67567567567568,2,,,36,37,15,16,6,,1,1499,5,0.0,0,18540,15907,1690,0,2258
58,de-dottori-aristodemo,ita000059,Dottori,0,Aristodemo,,,1657,12,False,0.6765873015873015,0.4545454545454545,1.6515151515151516,policare|coro,5.0,3,,1670.0,8,12,4,7,1,,1,1657,34,0.0,5,18682,18472,98,0,3113
61,dolce-marianna,ita000062,Dolce,0,Marianna,,,1565,15,False,0.7168294668294668,0.3333333333333333,1.6857142857142855,erode,4.666666666666667,3,,1565.0,13,17,5,11,1,,1,,23,0.0,5,23356,21966,66,0,3092
70,giraldi-cinzio-cleopatra,ita000071,Giraldi,0,Cleopatra,,,1542,18,False,0.5783148949815616,0.3594771241830065,1.6397058823529411,coro,6.111111111111111,3,,1583.0,12,18,4,14,0,,2,1542,35,0.0,5,22367,21247,16,0,3052
71,giraldi-cinzio-egle-editio-princeps,ita000072,Giraldi,0,Egle (Editio Princeps),,,1545,19,False,0.8089977617841395,0.3684210526315789,1.631578947368421,egle,6.631578947368421,2,,1545.0,18,19,8,11,0,,1,,20,,5,17500,16039,71,0,2289
